
Overlap Results

Collection(s):	C1, C2, C3, C4, C5, C6, C7, C8, H
# overlaps shown:	20
# genesets in collections:	33591
# genes in comparison (n):	50
# genes in universe (N):	42499

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	326		31	0.0951	1.67E-53	5.6E-49
FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	133		20	0.1504	7.92E-38	1.33E-33
MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	439	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	25	0.0569	1.13E-36	1.26E-32
MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	600	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	26	0.0433	4.05E-35	3.4E-31
ZHONG_PFC_C9_ORG_OTHER	83		17	0.2048	1.42E-34	9.52E-31
MANNO_MIDBRAIN_NEUROTYPES_HRGL3	574	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	24	0.0418	7.37E-32	4.13E-28
MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	325	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	21	0.0646	1.03E-31	4.92E-28
MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	300	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	18	0.0600	1.67E-26	7E-23
MANNO_MIDBRAIN_NEUROTYPES_HRGL1	364	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	18	0.0495	5.67E-25	2.12E-21
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	322	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	15	0.0466	1.99E-20	6.68E-17
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM	354	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	15	0.0424	8.28E-20	2.53E-16
MANNO_MIDBRAIN_NEUROTYPES_HOPC	366	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	15	0.0410	1.37E-19	3.82E-16
MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	681		17	0.0250	1.5E-18	3.87E-15
ZHONG_PFC_MAJOR_TYPES_NPCS	142		11	0.0775	1.3E-17	3.13E-14
MANNO_MIDBRAIN_NEUROTYPES_HPROGM	307	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	13	0.0423	3.16E-17	7.07E-14
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	115		10	0.0870	1.32E-16	2.78E-13
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1777	Any process that modulates the frequency, rate or extent of cell proliferation. [GOC:jl]	21	0.0118	2.09E-16	4.13E-13
LEIN_ASTROCYTE_MARKERS	43	Genes enriched in astrocytes in the adult mouse brain identified through correlation-based searches seeded with the astrocyte cell-type specific gene expression patterns.	8	0.1860	2.86E-16	5.34E-13
HAY_BONE_MARROW_STROMAL	767		16	0.0209	3.02E-16	5.34E-13
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	11	0.0550	6.04E-16	1.02E-12


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	MANNO_MIDBRAIN_NEUROTYPES_HRGL1	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM	MANNO_MIDBRAIN_NEUROTYPES_HOPC	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	ZHONG_PFC_MAJOR_TYPES_NPCS	MANNO_MIDBRAIN_NEUROTYPES_HPROGM	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	LEIN_ASTROCYTE_MARKERS	HAY_BONE_MARROW_STROMAL	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
57348	TTYH1	tweety family member 1 [Source:HGNC Symbol;Acc:HGNC:13476]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C		MANNO_MIDBRAIN_NEUROTYPES_HRGL1			MANNO_MIDBRAIN_NEUROTYPES_HOPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA				
63827	BCAN	brevican [Source:HGNC Symbol;Acc:HGNC:23059]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C		MANNO_MIDBRAIN_NEUROTYPES_HRGL1			MANNO_MIDBRAIN_NEUROTYPES_HOPC						LEIN_ASTROCYTE_MARKERS		
4504	MT3	metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C					MANNO_MIDBRAIN_NEUROTYPES_HOPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA				
8613	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C							ZHONG_PFC_MAJOR_TYPES_NPCS				LEIN_ASTROCYTE_MARKERS	HAY_BONE_MARROW_STROMAL	
6507	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C												HAY_BONE_MARROW_STROMAL	
23209	MLC1	modulator of VRAC current 1 [Source:HGNC Symbol;Acc:HGNC:17082]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C													
477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3												LEIN_ASTROCYTE_MARKERS		
3371	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C						MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
4240	MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER								MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL			DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		LEIN_ASTROCYTE_MARKERS		
26227	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HPROGBP		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM	MANNO_MIDBRAIN_NEUROTYPES_HOPC	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	ZHONG_PFC_MAJOR_TYPES_NPCS	MANNO_MIDBRAIN_NEUROTYPES_HPROGM					
1910	EDNRB	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C					MANNO_MIDBRAIN_NEUROTYPES_HOPC	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	
