Gene Set Name	&	k/K	&	FDR	\\
ZHONG-PFC-MAJOR-TYPES-ASTROCYTES	&	0.0951	&	5.6E-49	\\
FAN-EMBRYONIC-CTX-BIG-GROUPS-GLIAL	&	0.1504	&	1.33E-33	\\
MANNO-MIDBRAIN-NEUROTYPES-HRGL2B	&	0.0569	&	1.26E-32	\\
MANNO-MIDBRAIN-NEUROTYPES-HRGL2A	&	0.0433	&	3.4E-31	\\
ZHONG-PFC-C9-ORG-OTHER	&	0.2048	&	9.52E-31	\\
MANNO-MIDBRAIN-NEUROTYPES-HRGL3	&	0.0418	&	4.13E-28	\\
MANNO-MIDBRAIN-NEUROTYPES-HRGL2C	&	0.0646	&	4.92E-28	\\
MANNO-MIDBRAIN-NEUROTYPES-HPROGBP	&	0.0600	&	7.00E-23	\\
MANNO-MIDBRAIN-NEUROTYPES-HRGL1	&	0.0495	&	2.12E-21	\\
MANNO-MIDBRAIN-NEUROTYPES-HPROGFPL	&	0.0466	&	6.68E-17	\\
MANNO-MIDBRAIN-NEUROTYPES-HPROGFPM	&	0.0424	&	2.53E-16	\\
MANNO-MIDBRAIN-NEUROTYPES-HOPC	&	0.0410	&	3.82E-16	\\
MURARO-PANCREAS-MESENCHYMAL-STROMAL-CELL	&	0.0250	&	3.87E-15	\\
ZHONG-PFC-MAJOR-TYPES-NPCS	&	0.0775	&	3.13E-14	\\
MANNO-MIDBRAIN-NEUROTYPES-HPROGM	&	0.0423	&	7.07E-14	\\
DURANTE-ADULT-OLFACTORY-NEUROEPITHELIUM-OLFACTORY-ENSHEATHING-GLIA	&	0.0870	&	2.78E-13	\\
GOBP-REGULATION-OF-CELL-POPULATION-PROLIFERATION	&	0.0118	&	4.13E-13	\\
LEIN-ASTROCYTE-MARKERS	&	0.1860	&	5.34E-13	\\
HAY-BONE-MARROW-STROMAL	&	0.0209	&	5.34E-13	\\
HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION	&	0.0550	&	1.02E-12	\\
