Gene Set Name	&	k/K	&	FDR	\\
MANNO-MIDBRAIN-NEUROTYPES-HNBGABA	&	0.0455	&	2.24E-40	\\
MANNO-MIDBRAIN-NEUROTYPES-HGABA	&	0.0298	&	3.46E-36	\\
MANNO-MIDBRAIN-NEUROTYPES-HNBML5	&	0.0495	&	4.23E-28	\\
MANNO-MIDBRAIN-NEUROTYPES-HDA2	&	0.0390	&	8.44E-22	\\
MANNO-MIDBRAIN-NEUROTYPES-HDA1	&	0.0342	&	9.01E-21	\\
MANNO-MIDBRAIN-NEUROTYPES-HDA	&	0.0375	&	2.38E-20	\\
GOBP-GENERATION-OF-NEURONS	&	0.0173	&	4.1E-20	\\
GOBP-NEUROGENESIS	&	0.0156	&	4.61E-20	\\
MANNO-MIDBRAIN-NEUROTYPES-HSERT	&	0.0400	&	9.84E-20	\\
ZHONG-PFC-C3-MICROGLIA	&	0.0369	&	3.57E-19	\\
ZHONG-PFC-C3-ASTROCYTE	&	0.0437	&	3.57E-19	\\
GOCC-SYNAPSE	&	0.0164	&	8.77E-19	\\
GOCC-NEURON-PROJECTION	&	0.0171	&	3.2E-18	\\
BLALOCK-ALZHEIMERS-DISEASE-DN	&	0.0176	&	1.59E-17	\\
GOBP-NEURON-DEVELOPMENT	&	0.0190	&	3.36E-17	\\
GOBP-HEAD-DEVELOPMENT	&	0.0216	&	3.14E-15	\\
MANNO-MIDBRAIN-NEUROTYPES-HRN	&	0.0418	&	3.91E-15	\\
GOBP-CENTRAL-NERVOUS-SYSTEM-DEVELOPMENT	&	0.0177	&	1.05E-14	\\
MANNO-MIDBRAIN-NEUROTYPES-HNBML1	&	0.0396	&	1.32E-13	\\
ZHONG-PFC-C7-ORG-UNDERGOING-NEURONAL-DIFFERENTIATION	&	0.1343	&	1.37E-13	\\
