
Overlap Results

Collection(s):	C1, C2, C3, C4, C5, C6, C7, C8, H
# overlaps shown:	20
# genesets in collections:	33591
# genes in comparison (n):	50
# genes in universe (N):	42499

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	326		34	0.1043	9.15E-61	3.07E-56
MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	600	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	31	0.0517	4.79E-45	8.05E-41
FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	133		22	0.1654	1.05E-42	1.18E-38
MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	439	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	26	0.0592	1.07E-38	8.96E-35
ZHONG_PFC_C9_ORG_OTHER	83		18	0.2169	4.04E-37	2.72E-33
MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	325	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	22	0.0677	9.74E-34	4.82E-30
MANNO_MIDBRAIN_NEUROTYPES_HRGL3	574	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	25	0.0436	1E-33	4.82E-30
MANNO_MIDBRAIN_NEUROTYPES_HRGL1	364	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	19	0.0522	7.84E-27	3.29E-23
LEIN_ASTROCYTE_MARKERS	43	Genes enriched in astrocytes in the adult mouse brain identified through correlation-based searches seeded with the astrocyte cell-type specific gene expression patterns.	10	0.2326	3.62E-21	1.35E-17
MANNO_MIDBRAIN_NEUROTYPES_HOPC	366	Cell types are named using anatomical and functional mnemonics prefixed by 'm' or'h' to indicate mouse and human respectively: OMTN, oculomotor and trochlear nucleus; Sert, serotonergic; NbM, medial neuroblast; NbDA, neuroblast dopaminergic; DA0-2, dopaminergic neurons; RN, red nucleus; Gaba1-2, GABAergic neurons; mNbL1-2, lateral neuroblasts; NbML1-5, mediolateral neuroblasts; NProg, neuronal progenitor; Prog, progenitor medial floorplate (FPM), lateral floorplate (FPL), midline (M), basal plate (BP); Rgl1-3, radial glia-like cells; Mgl, microglia; Endo, endothelial cells; Peric, pericytes; Epend, ependymal; OPC, oligodendrocyte precursor cells.	15	0.0410	1.37E-19	4.59E-16
FAN_EMBRYONIC_CTX_ASTROCYTE_2	154		12	0.0779	3.57E-19	1.09E-15
MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	681		17	0.0250	1.5E-18	4.19E-15
HAY_BONE_MARROW_STROMAL	767		17	0.0222	1.08E-17	2.65E-14
ZHONG_PFC_MAJOR_TYPES_OPC	91		10	0.1099	1.16E-17	2.65E-14
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1777	Any process that modulates the frequency, rate or extent of cell proliferation. [GOC:jl]	22	0.0124	1.18E-17	2.65E-14
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	416	An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]	14	0.0337	4.06E-17	8.52E-14
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	557	A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space. [GOC:go_curators]	15	0.0269	7.08E-17	1.4E-13
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	115		10	0.0870	1.32E-16	2.47E-13
GOBP_CELL_ADHESION	1524	The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules. [GOC:hb, GOC:pf]	20	0.0131	1.85E-16	3.27E-13
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.	11	0.0550	6.04E-16	1.02E-12


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1	LEIN_ASTROCYTE_MARKERS	MANNO_MIDBRAIN_NEUROTYPES_HOPC	FAN_EMBRYONIC_CTX_ASTROCYTE_2	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL	ZHONG_PFC_MAJOR_TYPES_OPC	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	GOBP_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
63827	BCAN	brevican [Source:HGNC Symbol;Acc:HGNC:23059]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1	LEIN_ASTROCYTE_MARKERS	MANNO_MIDBRAIN_NEUROTYPES_HOPC				ZHONG_PFC_MAJOR_TYPES_OPC		GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOBP_CELL_ADHESION	
57348	TTYH1	tweety family member 1 [Source:HGNC Symbol;Acc:HGNC:13476]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1		MANNO_MIDBRAIN_NEUROTYPES_HOPC	FAN_EMBRYONIC_CTX_ASTROCYTE_2			ZHONG_PFC_MAJOR_TYPES_OPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	GOBP_CELL_ADHESION	
8613	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3		LEIN_ASTROCYTE_MARKERS		FAN_EMBRYONIC_CTX_ASTROCYTE_2		HAY_BONE_MARROW_STROMAL	ZHONG_PFC_MAJOR_TYPES_OPC					GOBP_CELL_ADHESION	
4504	MT3	metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3			MANNO_MIDBRAIN_NEUROTYPES_HOPC	FAN_EMBRYONIC_CTX_ASTROCYTE_2			ZHONG_PFC_MAJOR_TYPES_OPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		
6507	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3						HAY_BONE_MARROW_STROMAL							
23209	MLC1	modulator of VRAC current 1 [Source:HGNC Symbol;Acc:HGNC:17082]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3													
1471	CST3	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C			LEIN_ASTROCYTE_MARKERS					ZHONG_PFC_MAJOR_TYPES_OPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		
3371	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C						MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOBP_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER		MANNO_MIDBRAIN_NEUROTYPES_HRGL3		LEIN_ASTROCYTE_MARKERS		FAN_EMBRYONIC_CTX_ASTROCYTE_2									
