Gene Set Name	&	k/K	&	FDR	\\
MANNO-MIDBRAIN-NEUROTYPES-HNBGABA	&	0.0427	&	2.26E-36	\\
MANNO-MIDBRAIN-NEUROTYPES-HGABA	&	0.0280	&	1.59E-32	\\
MANNO-MIDBRAIN-NEUROTYPES-HDA1	&	0.0411	&	1.25E-27	\\
MANNO-MIDBRAIN-NEUROTYPES-HNBML5	&	0.0473	&	2.47E-26	\\
MANNO-MIDBRAIN-NEUROTYPES-HDA2	&	0.0429	&	1.75E-25	\\
MANNO-MIDBRAIN-NEUROTYPES-HDA	&	0.0415	&	7.06E-24	\\
GOBP-GENERATION-OF-NEURONS	&	0.0180	&	1.36E-21	\\
GOCC-NEURON-PROJECTION	&	0.0186	&	6.22E-21	\\
ZHONG-PFC-C3-MICROGLIA	&	0.0389	&	7.97E-21	\\
GOBP-NEUROGENESIS	&	0.0156	&	3.69E-20	\\
ZHONG-PFC-C3-ASTROCYTE	&	0.0437	&	3.57E-19	\\
BLALOCK-ALZHEIMERS-DISEASE-DN	&	0.0184	&	6.7E-19	\\
GOCC-SYNAPSE	&	0.0164	&	8.1E-19	\\
GOBP-NEURON-DEVELOPMENT	&	0.0199	&	1.24E-18	\\
MANNO-MIDBRAIN-NEUROTYPES-HRN	&	0.0478	&	1.34E-18	\\
GOBP-CENTRAL-NERVOUS-SYSTEM-DEVELOPMENT	&	0.0195	&	1.69E-17	\\
MANNO-MIDBRAIN-NEUROTYPES-HNBML1	&	0.0457	&	5.19E-17	\\
GOBP-CELL-PROJECTION-ORGANIZATION	&	0.0146	&	8.13E-17	\\
GOBP-HEAD-DEVELOPMENT	&	0.0228	&	8.68E-17	\\
MANNO-MIDBRAIN-NEUROTYPES-HSERT	&	0.0356	&	1.14E-16	\\
